date,smb,hml
02/01/2008,-0.000800,-0.001200
03/01/2008,-0.010100,-0.004100
04/01/2008,-0.004800,0.000500
07/01/2008,0.001200,0.001800
08/01/2008,-0.004300,-0.009400
09/01/2008,-0.003300,-0.006600
10/01/2008,-0.001200,0.005300
11/01/2008,-0.007600,0.002800
14/01/2008,-0.000500,-0.001700
15/01/2008,0.004100,-0.000700
16/01/2008,0.009000,0.011100
17/01/2008,0.003600,-0.000600
18/01/2008,-0.002600,-0.008100
22/01/2008,0.002600,0.013700
23/01/2008,0.006300,0.018100
24/01/2008,-0.009600,-0.004800
25/01/2008,0.008500,0.001600
28/01/2008,0.000300,0.010100
29/01/2008,-0.005400,0.011000
30/01/2008,-0.004300,-0.000500
31/01/2008,0.008400,0.004900
01/02/2008,0.007600,0.000500
04/02/2008,0.001600,-0.002100
05/02/2008,0.004200,0.000600
06/02/2008,-0.004000,0.004900
07/02/2008,0.003600,0.001700
08/02/2008,-0.001100,-0.003600
11/02/2008,-0.001800,-0.006000
12/02/2008,-0.001300,0.000200
13/02/2008,0.007100,-0.000400
14/02/2008,-0.007900,0.001200
15/02/2008,-0.009100,0.004800
19/02/2008,0.002000,-0.003100
20/02/2008,0.002200,0.000400
21/02/2008,-0.003800,-0.002100
22/02/2008,-0.008700,0.005700
25/02/2008,0.005200,-0.001600
26/02/2008,0.003700,-0.000300
27/02/2008,0.000000,-0.002300
28/02/2008,-0.003900,-0.005500
29/02/2008,0.000900,-0.001700
03/03/2008,-0.002600,-0.004000
04/03/2008,0.000000,0.001000
05/03/2008,-0.002100,-0.003900
06/03/2008,-0.004600,-0.002300
07/03/2008,0.002200,0.006800
10/03/2008,-0.006300,0.006100
11/03/2008,0.002400,0.003200
12/03/2008,0.001700,-0.007400
13/03/2008,0.013200,-0.001900
14/03/2008,-0.002100,-0.003500
17/03/2008,-0.008500,0.005600
18/03/2008,0.000400,-0.001700
19/03/2008,-0.000100,0.002300
20/03/2008,-0.001500,0.008700
24/03/2008,0.011400,-0.006000
25/03/2008,0.004700,-0.001700
26/03/2008,0.006100,-0.005600
27/03/2008,-0.001900,0.000100
28/03/2008,-0.004800,0.002300
31/03/2008,0.000600,0.004600
01/04/2008,-0.006900,0.001000
02/04/2008,0.004900,-0.002000
03/04/2008,-0.000600,-0.001600
04/04/2008,0.001100,-0.005400
07/04/2008,-0.004500,0.004800
08/04/2008,0.003100,-0.001600
09/04/2008,-0.008300,-0.001800
10/04/2008,0.006700,-0.005400
11/04/2008,-0.006300,0.005000
14/04/2008,0.001400,-0.003300
15/04/2008,0.002900,0.003900
16/04/2008,0.005000,0.001100
17/04/2008,-0.008600,0.003800
18/04/2008,0.001200,-0.005800
21/04/2008,-0.001100,-0.006500
22/04/2008,-0.011500,0.003700
23/04/2008,0.002100,-0.012100
24/04/2008,0.005600,0.004900
25/04/2008,-0.002300,0.002200
28/04/2008,0.005700,0.001500
29/04/2008,-0.004800,0.004200
30/04/2008,-0.001100,0.000000
01/05/2008,0.000800,0.003300
02/05/2008,-0.007300,-0.000100
05/05/2008,0.002800,-0.001700
06/05/2008,-0.000300,0.003300
07/05/2008,0.000300,-0.001700
08/05/2008,0.001100,-0.002900
09/05/2008,0.005800,-0.001900
12/05/2008,0.006900,-0.004000
13/05/2008,0.006600,-0.001400
14/05/2008,-0.004100,0.001100
15/05/2008,-0.001000,-0.003200
16/05/2008,-0.004100,-0.000200
19/05/2008,-0.002500,0.001200
20/05/2008,0.006000,-0.001800
21/05/2008,0.004200,0.002500
22/05/2008,0.002800,0.000700
23/05/2008,0.001300,-0.003500
27/05/2008,0.005500,-0.001400
28/05/2008,-0.000800,-0.001200
29/05/2008,0.003000,-0.001800
30/05/2008,0.002400,-0.000100
02/06/2008,0.001500,0.001700
03/06/2008,0.002900,0.000200
04/06/2008,0.006600,-0.006300
05/06/2008,0.003600,-0.001700
06/06/2008,0.001600,-0.000800
09/06/2008,-0.005100,-0.004500
10/06/2008,-0.000200,-0.001500
11/06/2008,-0.001600,-0.000600
12/06/2008,-0.000300,0.000700
13/06/2008,0.003200,-0.004400
16/06/2008,0.008500,-0.000900
17/06/2008,0.001300,-0.002700
18/06/2008,0.001900,0.001700
19/06/2008,0.005500,-0.006000
20/06/2008,0.002800,0.001500
23/06/2008,-0.006200,-0.003300
24/06/2008,-0.012000,0.003300
25/06/2008,0.003800,-0.004000
26/06/2008,0.005400,0.001200
27/06/2008,0.002300,-0.005100
30/06/2008,-0.012000,0.001800
01/07/2008,-0.004300,0.003100
02/07/2008,-0.008900,0.001700
03/07/2008,-0.006300,-0.002500
07/07/2008,0.001800,-0.012600
08/07/2008,0.010000,0.023100
09/07/2008,-0.000700,-0.013800
10/07/2008,-0.000400,-0.011800
11/07/2008,0.015500,-0.011000
14/07/2008,-0.000800,-0.024600
15/07/2008,0.012100,-0.012300
16/07/2008,0.000200,0.047400
17/07/2008,-0.001300,0.040700
18/07/2008,-0.008100,0.010500
21/07/2008,0.003300,-0.005300
22/07/2008,0.009500,0.030500
23/07/2008,0.000700,0.014700
24/07/2008,0.005500,-0.028600
25/07/2008,0.009200,-0.009700
28/07/2008,0.000400,-0.013800
29/07/2008,-0.003800,0.032800
30/07/2008,-0.014200,-0.000900
31/07/2008,0.005700,0.004000
01/08/2008,0.006300,0.009300
04/08/2008,-0.001600,0.003300
05/08/2008,-0.005700,0.016800
06/08/2008,0.005300,-0.010700
07/08/2008,0.006500,-0.017500
08/08/2008,0.006500,0.012400
11/08/2008,0.013900,0.011500
12/08/2008,0.011000,-0.020600
13/08/2008,0.007500,-0.019100
14/08/2008,0.000700,0.012800
15/08/2008,-0.003900,0.010200
18/08/2008,0.002900,-0.009600
19/08/2008,-0.005800,-0.011600
20/08/2008,-0.007000,0.000200
21/08/2008,-0.009400,-0.004100
22/08/2008,0.004600,0.010200
25/08/2008,-0.001200,-0.005500
26/08/2008,-0.002100,0.002000
27/08/2008,0.002100,0.004000
28/08/2008,0.001200,0.017900
29/08/2008,0.002000,0.006200
02/09/2008,0.003200,0.019200
03/09/2008,0.005100,0.015400
04/09/2008,0.002400,-0.005100
05/09/2008,-0.008800,0.015800
08/09/2008,-0.005500,0.021200
09/09/2008,0.007000,-0.008500
10/09/2008,0.004000,-0.007400
11/09/2008,-0.009200,0.001200
12/09/2008,-0.002500,-0.001300
15/09/2008,0.015300,-0.023200
16/09/2008,0.001700,0.020400
17/09/2008,0.006200,-0.021900
18/09/2008,0.010300,0.048700
19/09/2008,-0.022000,0.039400
22/09/2008,0.004600,-0.034100
23/09/2008,0.001000,0.001700
24/09/2008,-0.010900,-0.007800
25/09/2008,-0.011600,0.006400
26/09/2008,-0.009800,0.010600
29/09/2008,0.035900,-0.040700
30/09/2008,-0.037900,0.030000
01/10/2008,-0.009700,0.030400
02/10/2008,-0.006400,0.007100
03/10/2008,-0.007800,-0.012200
06/10/2008,-0.000400,0.003800
07/10/2008,0.011100,-0.035500
08/10/2008,-0.001700,-0.023200
09/10/2008,-0.002200,-0.026000
10/10/2008,0.038000,0.031500
13/10/2008,-0.025100,-0.020000
14/10/2008,-0.030800,0.045800
15/10/2008,0.002500,0.008000
16/10/2008,0.022400,-0.013900
17/10/2008,-0.008100,-0.009100
20/10/2008,-0.012400,-0.008400
21/10/2008,0.000300,0.004600
22/10/2008,0.009000,0.000400
23/10/2008,-0.033400,-0.008500
24/10/2008,-0.000900,-0.005000
27/10/2008,-0.008800,0.003100
28/10/2008,-0.037700,0.005100
29/10/2008,0.028200,-0.012700
30/10/2008,0.020200,-0.005400
31/10/2008,0.021200,0.020900
03/11/2008,0.001500,0.005300
04/11/2008,-0.025900,0.002100
05/11/2008,0.002400,-0.015800
06/11/2008,0.015300,-0.003600
07/11/2008,-0.011100,-0.007400
10/11/2008,-0.007000,-0.020800
11/11/2008,0.000800,0.000200
12/11/2008,-0.004700,-0.011600
13/11/2008,0.007800,0.000400
14/11/2008,-0.023000,-0.001100
17/11/2008,0.018900,-0.017400
18/11/2008,-0.012600,-0.006800
19/11/2008,0.000000,-0.030400
20/11/2008,0.017600,-0.025400
21/11/2008,-0.011500,-0.021900
24/11/2008,-0.014700,0.048900
25/11/2008,0.000000,0.021500
26/11/2008,0.016600,0.003000
28/11/2008,-0.005700,0.017700
01/12/2008,-0.007100,-0.038000
02/12/2008,0.006800,0.025000
03/12/2008,-0.002200,0.015400
04/12/2008,-0.000800,0.012100
05/12/2008,0.000800,0.019000
08/12/2008,-0.003000,0.001700
09/12/2008,-0.005900,-0.011500
10/12/2008,0.010400,-0.008800
11/12/2008,-0.012000,-0.022300
12/12/2008,0.023000,0.007400
