European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Februar 2009,,,,,
,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,
,,02/2009,01/2009,Change (%),Market Share
ComStage ETF ATX,LU0392496690,0.9787172,0.33591531,1.9135831885721428,4.5330451707463305e-05
ComStage ETF Commerzbank EONIA Index TR,LU0378437684,47.622317267,56.314449448,-0.15434994510647215,0.002205684290691161
ComStage ETF Commerzbank FED Funds Effective Rate Index TR,LU0378437767,0.527202,9.11787,-0.9421792589716678,2.4417987955129496e-05
ComStage ETF DAX TR,LU0378438732,16.936188091,57.988010564999996,-0.7079363832974428,0.000784419704044836
ComStage ETF DJ EURO STOXX 50 Leveraged TR,LU0392496930,0.31961843,0.20371926,0.5689161152460498,1.4803507903948393e-05
ComStage ETF DJ EURO STOXX 50 Short TR,LU0392496856,4.091451045,1.064196798,2.8446376203060146,0.0001895004236247435
ComStage ETF DJ EURO STOXX 50 TR,LU0378434079,4.359787166,16.982283662,-0.7432743880167558,0.00020192873036581078
ComStage ETF DJ EURO STOXX Select Dividend 30 TR,LU0378434236,0.25191101,0.7267569399999999,-0.6533765332877317,1.1667558180630018e-05
ComStage ETF DJ STOXX 600 Automobiles & Parts TR,LU0378435043,0.033359099999999996,0.00326146,9.22827200088304,1.5450664109657405e-06
ComStage ETF DJ STOXX 600 Banks TR,LU0378435399,1.587223577,1.90367215,-0.1662306048864559,7.351414862857797e-05
ComStage ETF DJ STOXX 600 Basic Resources TR,LU0378435472,2.466769505,1.989682033,0.23978076098956258,0.0001142513648680596
ComStage ETF DJ STOXX 600 Chemicals TR,LU0378435555,0.071858107,0.243334436,-0.704694049139843,3.3281937306846462e-06
ComStage ETF DJ STOXX 600 Construction & Materials TR,LU0378435639,0.205373377,1.6651402,-0.8766630119193567,9.51211233244614e-06
ComStage ETF DJ STOXX 600 Financial Services TR,LU0378435712,0,0.014628799999999999,-1,0
ComStage ETF DJ STOXX 600 Food & Beverage TR,LU0378435803,0.019838358,0.5947874599999999,-0.966646307573465,9.188371567132654e-07
ComStage ETF DJ STOXX 600 Health Care TR,LU0378435985,2.729911383,0.4221755,5.4662951379225,0.0001264390940638786
ComStage ETF DJ STOXX 600 Industrial Goods & Services TR,LU0378436017,0.007552,0.000478363,14.78717417526021,3.4977986623180104e-07
ComStage ETF DJ STOXX 600 Insurance TR,LU0378436108,0.13409175,4.17519075,-0.9678836829191576,6.210618958923214e-06
ComStage ETF DJ STOXX 600 Media TR,LU0378436363,0.0047736,0.5776017,-0.991735481387953,2.210949641742751e-07
ComStage ETF DJ STOXX 600 Oil & Gas TR,LU0378436447,2.157708497,0.649143692,2.3239304696193517,9.993683652646722e-05
ComStage ETF DJ STOXX 600 Personal & Household Goods TR,LU0378436520,0.0043538000000000006,0.0024521,0.775539333632397,2.0165142764830716e-07
ComStage ETF DJ STOXX 600 Real Estate TR,LU0378436793,0.004895,0.007419899999999999,-0.3402876049542446,2.2671774962985515e-07
ComStage ETF DJ STOXX 600 Retail TR,LU0378436876,0.57369,0,,2.657113499185937e-05
ComStage ETF DJ STOXX 600 Technology TR,LU0378437098,0.92667142,2.804199074,-0.6695414998913876,4.291988947675227e-05
ComStage ETF DJ STOXX 600 Telecommunications TR,LU0378437171,0.037616580000000004,0.007029720000000001,4.351077994571619,1.7422566632015153e-06
ComStage ETF DJ STOXX 600 TR,LU0378434582,4.396813254,1.4304230900000001,2.0737851512170424,0.00020364363768939748
ComStage ETF DJ STOXX 600 Travel & Leisure TR,LU0378437254,0,0.39975004,-1,0
