European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
March 2009,,,,,,
,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,
,,03/2009,02/2009,Change (%),Market Share,
ComStage ETF ATX,LU0392496690,0.159354348,0.9787172,-0.8371803949087642,6.226695029078032e-06,
ComStage ETF Commerzbank EONIA Index TR,LU0378437684,38.211127468,47.622317267,-0.19762141657733878,0.0014930815534475571,
ComStage ETF Commerzbank FED Funds Effective Rate Index TR,LU0378437767,8.69328516,0.527202,15.48947682292556,0.0003396859650928999,
ComStage ETF DAX TR,LU0378438732,14.285258661,16.936188091,-0.15652456241961077,0.000558189658518402,
ComStage ETF DJ EURO STOXX 50 Leveraged TR,LU0392496930,0.80672339,0.31961843,1.524020251272744,3.1522331115521104e-05,
ComStage ETF DJ EURO STOXX 50 Short TR,LU0392496856,4.984791156,4.091451045,0.2183431015487074,0.00019477833332829636,
ComStage ETF DJ EURO STOXX 50 TR,LU0378434079,13.510290769,4.359787166,2.098841813738207,0.0005279081583185362,
ComStage ETF DJ EURO STOXX Select Dividend 30 TR,LU0378434236,0.170428728,0.25191101,-0.3234566127141485,6.659421137662914e-06,
ComStage ETF DJ STOXX 600 Automobiles & Parts TR,LU0378435043,0.019543,0.033359099999999996,-0.4141628521153148,7.636333898669146e-07,
ComStage ETF DJ STOXX 600 Banks TR,LU0378435399,4.325822356,1.587223577,1.7254020282235256,0.00016902944223887644,
ComStage ETF DJ STOXX 600 Basic Resources TR,LU0378435472,0.674271283,2.466769505,-0.7266581731153676,2.634682830308569e-05,
ComStage ETF DJ STOXX 600 Chemicals TR,LU0378435555,0.009224284,0.071858107,-0.8716319649222043,3.604344911229157e-07,
ComStage ETF DJ STOXX 600 Construction & Materials TR,LU0378435639,0.0823925,0.205373377,-0.5988160627070958,3.2194475809553166e-06,
ComStage ETF DJ STOXX 600 Financial Services TR,LU0378435712,0.09294688000000001,0,,3.631854937929352e-06,
ComStage ETF DJ STOXX 600 Food & Beverage TR,LU0378435803,0.010234,0.019838358,-0.4841306926712382,3.998886615104131e-07,
ComStage ETF DJ STOXX 600 Health Care TR,LU0378435985,2.3515228870000002,2.729911383,-0.13860834397641686,9.188463355418531e-05,
ComStage ETF DJ STOXX 600 Industrial Goods & Services TR,LU0378436017,0,0.007552,-1,0,
ComStage ETF DJ STOXX 600 Insurance TR,LU0378436108,0.45056293,0.13409175,2.3601092535521384,1.7605531268703334e-05,
ComStage ETF DJ STOXX 600 Media TR,LU0378436363,0.0023322,0.0047736,-0.511437908496732,9.11296009746517e-08,
ComStage ETF DJ STOXX 600 Oil & Gas TR,LU0378436447,4.611098192,2.157708497,1.1370348211591628,0.00018017645926245512,
ComStage ETF DJ STOXX 600 Personal & Household Goods TR,LU0378436520,0.001755,0.0043538000000000006,-0.5969038541044605,6.85757866866108e-08,
