XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Monthly turnover report: October 2009,,,,,,,
,,,,,,,
,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,XLM,AuM
,,10/2009,09/2009,Change (%),Market Share,"€ 100,000 round trip",in €m
ComStage ETF ATX,LU0392496690,2.42979305,0.92139455,1.637082073038092,0.00016738233830889055,19.5165,27.0066
ComStage ETF Commerzbank Commodity EW Index TR,LU0419741177,1.45018941,0.70261452,1.0639900951662655,9.989990482382456e-05,50.6353636364,101.49099999999999
ComStage ETF Commerzbank EONIA Index TR,LU0378437684,38.065786288000005,20.59310866,0.8484720746381964,0.002622256376300008,1.4736363636,254.72
ComStage ETF Commerzbank FED Funds Effective Rate Index TR,LU0378437767,0.0371008,0.13689348999999998,-0.7289805380811023,2.555780895467821e-06,29.5248636364,40.62599999999999
ComStage ETF DAX TR,LU0378438732,732.201002018,903.440330134,-0.18954138132244036,0.05043948735876315,7.8641818182,391.7395
ComStage ETF DJ EURO STOXX 50 Leveraged TR,LU0392496930,5.714342820000001,2.97292317,0.9221293296994286,0.0003936467194645321,20.4066363636,13.79448
ComStage ETF DJ EURO STOXX 50 Short TR,LU0392496856,4.612525809999999,17.612732872000002,-0.7381141334782404,0.00031774531398380177,12.2837727273,30.692540000000005
ComStage ETF DJ EURO STOXX 50 TR,LU0378434079,585.795195225,203.144321984,1.8836405049565617,0.04035395917643009,7.7834545455,257.50125
ComStage ETF DJ EURO STOXX Select Dividend 30 TR,LU0378434236,1.06190323,0.53931529,0.9689840983369857,7.315184546073322e-05,9.079,116.07201
ComStage ETF DJ STOXX 600 Automobiles & Parts TR,LU0378435043,0.749035008,0.1791502,3.1810447769525236,5.159913973507273e-05,21.4355909091,8.73705
ComStage ETF DJ STOXX 600 Banks TR,LU0378435399,5.233521467,1.361023101,2.8452848178364607,0.00036052414453001885,16.4454545455,49.068
ComStage ETF DJ STOXX 600 Basic Resources TR,LU0378435472,6.211609398,3.1112782020000003,0.9964815084703891,0.00042790216463032524,16.0509545455,45.34436
ComStage ETF DJ STOXX 600 Chemicals TR,LU0378435555,0.20319078899999998,0.17807472,0.1410423051626868,1.3997302933123624e-05,16.5464090909,20.10255
ComStage ETF DJ STOXX 600 Construction & Materials TR,LU0378435639,0.041002216,3.224441026,-0.9872839305574572,2.8245396413189205e-06,16.7697272727,21.39738
ComStage ETF DJ STOXX 600 Financial Services TR,LU0378435712,1.4800811399999998,1.21082375,0.2223753787452547,0.00010195907099993079,22.3775,7.8795
ComStage ETF DJ STOXX 600 Food & Beverage TR,LU0378435803,0.19933558199999998,0.42266529999999997,-0.528384322062871,1.373172740918145e-05,16.3502727273,23.17652
ComStage ETF DJ STOXX 600 Health Care TR,LU0378435985,0.27271659499999995,1.908617256,-0.8571129994016988,1.8786761023429007e-05,19.1051363636,48.11495
ComStage ETF DJ STOXX 600 Industrial Goods & Services TR,LU0378436017,0.052179055,0.0108597,3.8048339272723926,3.5944839979883095e-06,19.4816818182,8.76046
ComStage ETF DJ STOXX 600 Insurance TR,LU0378436108,0.24311664000000002,0.5439818000000001,-0.5530794596436865,1.674769449398201e-05,15.9495454545,39.94958
ComStage ETF DJ STOXX 600 Media TR,LU0378436363,0.037434129999999996,0.20705597,-0.8192076760694222,2.578743161669258e-06,22.4634090909,9.1728
ComStage ETF DJ STOXX 600 Oil & Gas TR,LU0378436447,1.097176675,2.3656912979999998,-0.5362130824391271,7.558174446151852e-05,12.7338636364,44.54912
ComStage ETF DJ STOXX 600 Personal & Household Goods TR,LU0378436520,0.020995080000000003,0.0095258,1.2040227592433186,1.4462983106245293e-06,15.8643181818,9.7541
ComStage ETF DJ STOXX 600 Real Estate TR,LU0378436793,0.06061632,0.26370155,-0.7701328642171424,4.175705985034392e-06,29.5081818182,9.11735
ComStage ETF DJ STOXX 600 Retail TR,LU0378436876,0,0.6025253,-1,0,20.0181363636,9.88879
