XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Monthly turnover report: December 2009,,,,,,
,,,,,,
,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,AuM
,,12/2009,11/2009,Change (%),Market Share,in MEUR
db x-trackers II Emerging Markets Liquid Eurobond Index ETF,LU0321462953,4.5815355470000005,3.569708091,0.28344823447918177,0.00046977468844962246,79.5938819
db x-trackers II iBoxx Global Inflation-Linked TR Index Hedged ETF,LU0290357929,14.593960012,30.329308985,-0.5188166001665995,0.0014964138000354028,360.2403002
EasyETF GSNE,LU0230484932,0.67809658,2.1071856099999997,-0.6781979827586238,6.952966016313972e-05,42.41435918
Market Access AMEX Gold Bugs Indexfonds,LU0259322260,34.26533552,33.57217879,0.020646760352845295,0.0035134480903613475,96.19531551
iShares € Inflation Linked Bond,DE000A0HG2S8,29.727932216,13.672142173000001,1.1743434086508602,0.0030481985683091534,646.5682
db x-trackers II iBoxx € Sovereigns Eurozone 1-3 TR Index ETF,LU0290356871,54.218245071000005,90.581759411,-0.40144411608308983,0.005559349900317232,1065.55046605
iShares eb.rexx Government Germany (DE),DE0006289465,66.760152783,101.349834778,-0.34128996925122146,0.006845353408862903,621.814734
Lyxor ETF EuroMTS 10-15Y,FR0010037242,0.826069068,7.180733142,-0.8849603443458531,8.470224340214423e-05,301.27698455
Lyxor ETF Euro Corporate Bonds,FR0010737544,3.41815434,3.2405357400000003,0.05481149237378857,0.00035048563383900444,386.35703452999996
db x-trackers II iBoxx € Inflation-Linked TR Index ETF,LU0290358224,8.005764245,9.625094392000001,-0.168240443267333,0.0008208831657889572,172.72102185
db x-trackers II iTraxx Europe 5-year Short TRI ETF,LU0321462102,0.034891370000000005,0.6715758399999999,-0.9480455252827439,3.5776394842256376e-06,27.651987690000002
"iShares eb.rexx Government Germany 5,5-10,5 (DE)",DE0006289499,17.333575574999998,56.376650505,-0.6925398117885223,0.001777324432371933,837.11927489
db x-trackers Quirin Wealth Management Total Return Index ETF,LU0397221945,4.94529967,4.10088406,0.20591062747577404,0.0005070737939129364,49.3197
iShares $ Treasury Bond 7-10,DE000A0LGQB6,5.4306009699999995,12.583299382,-0.5684278975537769,0.0005568348979517297,124.5456
Market Access DJ Turkey Titans 20 Index Fund,LU0269999362,0.057914118,0.155024083,-0.6264185739450561,5.93831183042978e-06,6.3895
db x-trackers ShortDAX ETF,LU0292106241,577.6471794680001,979.4042629099999,-0.4102055695043656,0.059229928696301976,676.39240876
Lyxor ETF China Enterprise,FR0010204081,35.034869928000006,36.136691049999996,-0.030490371143154116,0.003592353466749005,814.32968049
iShares € Corporate Bond,DE0002511243,61.473546593,81.749129846,-0.24802200697665389,0.006303283233834074,3244.59
ETFX DAX® 2x Long Fund,DE000A0X8994,17.91149815,17.96314753,-0.0028752967659896322,0.0018365825991663398,7.26338907
ETFX DAX® 2x Short Fund,DE000A0X9AA8,15.885522210000001,32.40076279,-0.5097176472986362,0.0016288460867555303,16.5585
"iShares eb.rexx Government Germany 1,5-2,5 (DE)",DE0006289473,100.19404374,91.49008279099999,0.09513556752247498,0.010273548071298275,957.95555141
db x-trackers II Short iBoxx € Sovereigns Eurozone TR Index ETF,LU0321463258,6.8976642539999995,6.249620068,0.10369337318890604,0.0007072624544132882,510.05819864999995
