XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: January 2010,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Replication,"Income 
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,01/2010,12/2009,Change (%),Market Share,in MEUR,100.000€
ComStage ETF ATX,LU0392496690,Swap-based,Capitalizing,3.51757864,7.312153110000001,-0.5189407843239213,0.00026947432799578766,26.7444,21.9152
ComStage ETF Commerzbank Commodity EW Index TR,LU0419741177,Swap-based,Capitalizing,4.2455378,1.19403719,2.555616052461482,0.00032524175369558043,109.395,50.1597
ComStage ETF Commerzbank EONIA Index TR,LU0378437684,Swap-based,Capitalizing,84.754432663,70.732862764,0.19823274997058893,0.0064928594706630816,356.8355,1.5902
ComStage ETF Commerzbank FED Funds Effective Rate Index TR,LU0378437767,Swap-based,Capitalizing,0.1380587,0.02966835,3.653400003707655,1.0576387684248631e-05,65.106,28.4457
ComStage ETF DAX TR,LU0378438732,Swap-based,Capitalizing,309.978018566,239.305666102,0.2953225204198764,0.02374676639682422,404.96125,6.06915
ComStage ETF DJ EURO STOXX 50,LU0378434079,Swap-based,Capitalizing,176.423973993,158.89354147400002,0.11032816284649627,0.013515470924655715,259.96875,5.4559
ComStage ETF DJ EURO STOXX 50 Leveraged TR,LU0392496930,Swap-based,Capitalizing,3.66968642,0.6984053,4.254379398323581,0.00028112698625687806,13.97434,54.7265
ComStage ETF DJ EURO STOXX 50 Short TR,LU0392496856,Swap-based,Capitalizing,19.889128,7.8243472,1.5419536597251207,0.0015236644154236177,30.10708,12.7114
ComStage ETF DJ EURO STOXX Select Dividend 30 TR,LU0378434236,Swap-based,Capitalizing,1.5080252,0.488459283,2.087309940632247,0.00011552665027858859,121.21173,7.5594
