XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: January 2013,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Issuer,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,01/2013,12/2012,Change (%),Market Share,in MEUR,"100,000€"
iShares DAX (DE),DE0005933931,iShares,Full Replication,Accumulating,946.929821169,839.4632044,0.12801825762668284,0.0796278111287945,13740.076,3.32768181818182
iShares EURO STOXX 50 (DE),DE0005933956,iShares,Full Replication,Distributing,684.420766954,431.87547622000005,0.5847641383678654,0.05755329100984272,4000.5780000000004,4.84786363636364
iShares EURO STOXX 50,IE0008471009,iShares,Full Replication,Distributing,562.91614902,241.39173560100002,1.3319611486221405,0.04733590578040644,4886.1933959200005,4.75381818181818
ETFlab DAX,DE000ETFL011,ETFlab,Full Replication,Accumulating,441.59405297,229.375861963,0.9251984458645102,0.03713386890919175,743.32412736,3.77268181818182
db x-trackers DAX ETF,LU0274211480,db X-trackers,Swap-based,Accumulating,268.245415125,245.999915996,0.09042888912759528,0.0225568936305856,6802.313932383199,4.10286363636364
db x-trackers MSCI Emerging Markets TRN Index ETF,LU0292107645,db X-trackers,Swap-based,Accumulating,235.335651746,112.862422228,1.0851550684477127,0.01978949486031428,2824.4143558813116,9.45481818181818
iShares STOXX Europe 600 (DE),DE0002635307,iShares,Full Replication,Distributing,221.717346711,99.954718742,1.2181778859614414,0.018644324651309153,2036.2445,9.97704545454545
ETFlab EURO STOXX 50 ,DE000ETFL029,ETFlab,Full Replication,Distributing,209.87559749399998,96.100576098,1.1839161222090508,0.017648545926205995,694.55993619,5.67481818181818
iShares S&P 500,DE0002643889,iShares,Full Replication,Distributing,201.95812724799998,178.851834315,0.12919237323730437,0.01698276181921902,8319.18673705,4.67927272727273
iShares EURO STOXX Banks (DE),DE0006289309,iShares,Full Replication,Distributing,192.525752481,67.782219744,1.8403577399520343,0.016189588619207787,480.8265,15.3143636363636
iShares MSCI Emerging Markets,DE000A0HGZT7,iShares,Optimised,Distributing,186.878986932,87.707084426,1.1307171268436482,0.015714749227129853,5869.36517338,10.2584545454545
iShares MSCI Japan Monthly EUR Hedged,DE000A1H53P0,iShares,Optimised,Accumulating,171.469422807,48.409639007,2.542051259299943,0.014418951128588865,636.60688574,21.5708181818182
Lyxor ETF DAX,LU0252633754,Lyxor ETF,Swap-based,Accumulating,165.34477075299998,33.650612947999996,3.913573818358252,0.0139039260168193,642.0836981,5.08077272727273
"iShares eb.rexx Government Germany 5,5-10,5 (DE)",DE0006289499,iShares,Full Replication,Distributing,158.381781122,72.45733272300001,1.1858627025022295,0.013318404671061549,425.632,3.21063636363636
iShares MDAX (DE),DE0005933923,iShares,Full Replication,Accumulating,156.70128767199998,81.70627692900001,0.9178610696968617,0.013177091120629075,939.638,7.92927272727273
db x-trackers EURO STOXX 50 ETF,LU0274211217,db X-trackers,Swap-based,Distributing,145.61499500099998,70.457914118,1.0666946619670008,0.012244839121388917,1398.2814043104,5.44513636363636
db x-trackers ShortDAX Daily ETF,LU0292106241,db X-trackers,Swap-based,Accumulating,144.15395970699998,154.874326083,-0.06921977739715734,0.012121979919109795,444.38921493099997,5.21054545454545
ETFX DAX 2x Short Fund (ShortDAX x2),DE000A0X9AA8,ETF Securities,Swap-based,Accumulating,135.443404008,101.52851227,0.3340430286992522,0.011389504852298029,76.1675554513,10.8447727272727
ETFX DAX 2x Long Fund (LevDAX x2),DE000A0X8994,ETF Securities,Swap-based,Accumulating,119.60348130300001,44.228314198,1.7042288061797404,0.010057517681494443,31.190823905400002,10.7574090909091
db x-trackers EURO STOXX 50 ETF,LU0380865021,db X-trackers,Swap-based,Accumulating,118.23690100200001,127.390979776,-0.0718581393289871,0.009942601247702104,846.6482905056,5.64754545454545
