XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Turnover Report: October 2015,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*,
,,,,,10/2015,09/2015,Change (%),Market Share,in MEUR,"100,000€",
iShares Diversified Commodity Swap UCITS ETF (DE),DE000A0H0728,iShares,Swap-based,Accumulating,80.125351573,20.247077991,2.9573785219090087,0.006374680387376538,674.12076813,22.35,Commodities
db x-trackers DBLCI - OY Balanced UCITS ETF (EUR hedged),LU0292106167,db X-trackers,Swap-based,Accumulating,13.613128773,13.865171797,-0.018178139275168204,0.0010830447953917813,201.884073384,37.67,Commodities
ComStage Commerzbank Commodity ex-Agriculture EW Index TR UCITS ETF,LU0419741177,ComStage ETF,Swap-based,Accumulating,8.646828301000001,3.909081544,1.2119846321118342,0.0006879316683331878,235.49553147999998,25.84,Commodities
S&P GSCI Capped Component 35/20 THEMA EASY UCITS ETF,LU0203243414,EasyETF,Swap-based,Accumulating,4.235267422000001,1.8478442099999999,1.2920045959935123,0.00033695298229949886,130.94213371,48.49,Commodities
Lyxor UCITS ETF Commodities Thomson Reuters/Corecommodity CRB RT,FR0010270033,Lyxor ETF,Swap-based,Accumulating,3.7134092799999996,5.0142438600000006,-0.2594278651617077,0.0002954345515220773,549.2650542,25.65,Commodities
ETFS Longer Dated All Commodities GO UCITS ETF,DE000A1CXBV8,ETF Securities,Swap-based,Accumulating,2.1192794700000004,0.21803084,8.7200903780401,0.00016860742583413695,192.37680012,34.54,Commodities
Lyxor UCITS ETF Commodities Thomson Reuters/Corecommidity CRB Ex-Energy TR,FR0010346205,Lyxor ETF,Swap-based,Accumulating,1.2197201599999998,0.461233755,1.6444728877226251,9.703952655927988e-05,177.8595727,28.35,Commodities
UBS ETFs plc - CMCI Composite SF UCITS ETF (USD) A-acc,IE00B53H0131,UBS-ETF,Swap-based,Accumulating,1.07696921,0.5493466800000001,0.9604545712372372,8.568242592409203e-05,249.36557420982749,31.93,Commodities
