XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: April 2020,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,04-2020,03-2020,Change (%),Market Share,in MEUR,100000
iShares Core DAX® UCITS ETF (DE),DE0005933931,iShares,Full Replication,Accumulating,1001.77062138,1784.20648831,-0.4385343692316258,0.060550147795086426,5036.410284036,5.6778
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,iShares,Optimised,Accumulating,531.03714598,875.89851743,-0.39372297656339006,0.032097545074215965,19660.57337199338,7.77995
iShares Core EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,414.05084605,964.2546624500001,-0.5706001099357194,0.02502652741849374,4463.267604463001,8.0621
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,336.80017014,957.4387489400001,-0.6482279722719826,0.020357255088289814,5218.000101218,7.56625
Xtrackers DAX UCITS ETF 1C,LU0274211480,Xtrackers,Full Replication,Accumulating,323.31565572000005,811.11373469,-0.6013929466456782,0.019542208885446288,2955.5155593744003,10.2573
iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,iShares,Full Replication,Accumulating,234.59029475999998,478.46069721,-0.509697878785148,0.014179370722055471,29186.790040216994,38.77055
Xtrackers ShortDAX Daily Swap UCITS ETF 1C,LU0292106241,Xtrackers,Swap-based,Accumulating,221.44008999000002,662.2183354299999,-0.6656086397151602,0.013384531239477842,589.1617445664001,19.85615
Xtrackers Euro Stoxx 50 UCITS ETF 1C,LU0380865021,Xtrackers,Full Replication,Accumulating,217.07128241,298.99570742000003,-0.2739986661243955,0.013120466852869174,2845.6128142487996,7.7493
Xtrackers ShortDAX x2 Daily Swap UCITS ETF 1C,LU0411075020,Xtrackers,Swap-based,Accumulating,214.09012392,378.14613368,-0.43384288545663074,0.012940276314918066,192.4608834698,62.2016
iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),IE0008471009,iShares,Full Replication,Distributing,204.92548816,311.10019559,-0.34128781959985655,0.012386337081811291,3631.277231631,6.37255
iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,iShares,Full Replication,Distributing,197.56060705000002,284.86225995999996,-0.30646970547189634,0.011941180645610934,7801.958603792755,7.6378
iShares NASDAQ-100® UCITS ETF (DE),DE000A0F5UF5,iShares,Full Replication,Distributing,192.93425409,254.97020461000002,-0.24330666641966903,0.011661549411172908,1495.7614202151528,300.53575
iShares Core MSCI EM IMI UCITS ETF USD (Acc),IE00BKM4GZ66,iShares,Optimised,Accumulating,189.6922983,256.23008950999997,-0.2596798500021723,0.011465595469182457,11433.463292966166,9.04115
