XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: September 2021,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM
,,,,,09-2021,08-2021,Change (%),Market Share,in MEUR
iShares Core DAX UCITS ETF (DE) EUR (Acc),DE0005933931,iShares,Full Replication,Accumulating,716.93538054,699.75053758,0.024558527699645172,0.044272726610938555,6747.46149281
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,iShares,Optimised,Accumulating,588.33842104,527.06153264,0.11626135584790265,0.03633151156495605,36031.22601911219
iShares Core EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,291.57000299000003,204.21983241,0.42772618873093715,0.018005247586754577,5884.61636445
iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),IE0008471009,iShares,Full Replication,Distributing,237.34685623,113.81697617,1.0853379189717054,0.014656819516874513,4196.24422638
iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,iShares,Full Replication,Accumulating,207.47190162,163.08788149,0.27214787343179436,0.01281195910983685,43322.851279670096
Xtrackers EURO STOXX 50 UCITS ETF 1C,LU0380865021,Xtrackers,Full Replication,Accumulating,206.34680079,101.97717717,1.0234606067396013,0.012742481046948096,4249.6092782288
Xtrackers DAX UCITS ETF 1C,LU0274211480,Xtrackers,Full Replication,Accumulating,181.81369808000002,96.66537158,0.880856558126728,0.01122749464973638,4128.163580928
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,177.91342619,268.37832401,-0.33707974797781803,0.010986642160402908,6536.37597671
iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,iShares,Full Replication,Distributing,158.78544908,183.24252624000002,-0.1334683474510039,0.009805437097579157,4723.913301243631
Xtrackers MSCI World UCITS ETF 1C,IE00BJ0KDQ92,Xtrackers,Optimised,Accumulating,153.47748924,134.05264183,0.1449046221307133,0.009477656015438728,8030.298891652928
iShares Nasdaq-100 UCITS ETF USD (Acc),IE00B53SZB19,iShares,Full Replication,Accumulating,147.1298541,118.0862997,0.24595193916470892,0.009085672131246074,6695.972702064082
iShares Core MSCI EM IMI UCITS ETF USD (Acc),IE00BKM4GZ66,iShares,Optimised,Accumulating,146.26841737,157.30674649000002,-0.07017072926812917,0.009032476049876531,15507.694956878833
UBS ETF (LU) MSCI World Socially Responsible UCITS ETF (USD) A-dis,LU0629459743,UBS ETF,Full Replication,Distributing,126.62676495999999,94.23196859999999,0.34377713679643973,0.007819550128045147,3049.9428103299997
