Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,ETF Segment of Deutsche Börse Group,,,,,,,,,,,
,Monthly Report: December 2021,,,,,,,,,,,
,,,,,,,,,,,,
,,Product Name,ISIN,Xetra Ticker,Product Family,ETF Type,Replication,Income Treatment,Xetra Order Book Turnover (€ m),,Assets under Management (€ m),Xetra Liquidity Measure (XLM)*
,,Exchange Traded Funds,,,,,,,12-2021,November 2021,December 2021,December 2021
,1,iShares Core MSCI World UCITS ETF,IE00B4L5Y983,EUNL,iShares,Passive,Optimised,Accumulating,907.39827436,765.505931208,40648.5867377097,3.13942105263158
,2,iShares Core DAX UCITS ETF (DE) EUR (Acc),DE0005933931,EXS1,iShares,Passive,Full Replication,Accumulating,855.8633365,1029.6887452,6405.8682625500005,3.47763157894737
,3,iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,SXR8,iShares,Passive,Full Replication,Accumulating,303.8544431,1254.58225528,51406.850411513326,4.36244444444444
,4,iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,EXSA,iShares,Passive,Full Replication,Distributing,272.13974564999995,275.762073315,7041.34845881,4.4175
,5,iShares Core EURO STOXX 50 UCITS ETF (DE),DE0005933956,EXW1,iShares,Passive,Full Replication,Distributing,262.540362685,302.83495555499996,5910.70706202,3.74335
,6,Xtrackers DAX UCITS ETF 1C,LU0274211480,DBXD,Xtrackers,Passive,Full Replication,Accumulating,202.98072976,262.57473122,4360.637724066401,3.79631578947368
,7,iShares MSCI World EUR Hedged UCITS ETF (Acc),IE00B441G979,IBCH,iShares,Passive,Optimised,Accumulating,193.48972392,63.240029952,2561.02071217,6.19133333333333
,8,iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,IQQH,iShares,Passive,Full Replication,Distributing,188.932563576,228.87278483400002,4867.838180187179,13.75855
,9,iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,2B7K,iShares,Passive,Optimised,Accumulating,180.616787058,134.908471402,4620.25471612,7.58555
,10,iShares Nasdaq-100 UCITS ETF USD (Acc),IE00B53SZB19,SXRV,iShares,Passive,Full Replication,Accumulating,159.117772,375.89664810000005,7898.760361681087,3.9597619047619
,11,Xtrackers MSCI World UCITS ETF 1C,IE00BJ0KDQ92,XDWD,Xtrackers,Passive,Optimised,Accumulating,158.602909714,169.08877693,8180.320157630551,5.27719047619048
,12,Xtrackers EURO STOXX 50 UCITS ETF 1C,LU0380865021,DXET,Xtrackers,Passive,Full Replication,Accumulating,158.06863025,154.63811301,4569.395466622,4.95795
,13,Vanguard FTSE All-World UCITS ETF - (USD) Accumulating,IE00BK5BQT80,VWCE,Vanguard,Passive,Optimised,Accumulating,151.06149581,162.04472529999995,3855.72161,7.04078947368421
,14,iShares Core MSCI EM IMI UCITS ETF USD (Acc),IE00BKM4GZ66,IS3N,iShares,Passive,Optimised,Accumulating,150.97404671200002,138.413906947,15655.226347695569,8.35185714285714
,15,iShares MSCI ACWI UCITS ETF USD (Acc),IE00B6R52259,IUSQ,iShares,Passive,Optimised,Accumulating,148.43946396,128.70936629999997,3974.2576282624054,6.47504761904762
