Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,ETF Segment of Deutsche Börse Group,,,,,,,,,,,,
,Monthly Report: January 2022,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Product Name,ISIN,Xetra Ticker,Product Family,ETF Type,Replication,Income Treatment,Trd Cry,Xetra Order Book Turnover (€ m)	,,Assets under Management (€ m),Xetra Liquidity Measure (XLM)*
,,Exchange Traded Funds,,,,,,,,01-2022,December 2021,January 2022,January 2022
,1,iShares Core MSCI World UCITS ETF,IE00B4L5Y983,EUNL,iShares,Passive,Optimised,Accumulating,EUR,1422.49441744,907.39827436,39996.76170079778,2.89495238095238
,2,iShares Core DAX UCITS ETF (DE) EUR (Acc),DE0005933931,EXS1,iShares,Passive,Full Replication,Accumulating,EUR,846.7035804,855.8633365,6310.1623259,2.75514285714286
,3,iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,SXR8,iShares,Passive,Full Replication,Accumulating,EUR,506.97959373,303.8544431,49926.63830271603,3.9422380952381
,4,iShares Core EURO STOXX 50 UCITS ETF (DE),DE0005933956,EXW1,iShares,Passive,Full Replication,Distributing,EUR,349.390464105,262.540362685,5980.66705163,3.073
,5,iShares Nasdaq-100 UCITS ETF USD (Acc),IE00B53SZB19,SXRV,iShares,Passive,Full Replication,Accumulating,EUR,347.233379,159.117772,7286.41179952492,4.13557142857143
,6,iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,EXSA,iShares,Passive,Full Replication,Distributing,EUR,325.083454165,272.13974565,6759.317736909999,3.69452380952381
,7,iShares Nasdaq-100 UCITS ETF (DE),DE000A0F5UF5,EXXT,iShares,Passive,Full Replication,Distributing,EUR,251.0231018,119.62744578,2939.069626658301,6.81819047619048
,8,iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,IQQH,iShares,Passive,Full Replication,Distributing,EUR,242.225113137,188.932563576,4177.839363902833,13.0794285714286
,9,Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,VGWL,Vanguard,Passive,Optimised,Distributing,EUR,226.0629587,139.94495108,8197.300154,5.4667619047619
,10,Xtrackers MSCI World UCITS ETF 1C,IE00BJ0KDQ92,XDWD,Xtrackers,Passive,Optimised,Accumulating,EUR,207.757316868,158.602909714,7900.036594995981,5.72771428571429
,11,Vanguard FTSE All-World UCITS ETF - (USD) Accumulating,IE00BK5BQT80,VWCE,Vanguard,Passive,Optimised,Accumulating,EUR,206.57194838,151.06149581,3855.72161,6.83966666666667
,12,Xtrackers DAX UCITS ETF 1C,LU0274211480,DBXD,Xtrackers,Passive,Full Replication,Accumulating,EUR,203.986141,202.98072976,4091.4363183176,2.86190476190476
,13,HSBC MSCI World UCITS ETF,IE00B4X9L533,H4ZJ,HSBC ETF,Passive,Optimised,Distributing,EUR,196.186402576,137.759078803,3995.046329,6.43180952380952
,14,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,QDVE,iShares,Passive,Full Replication,Accumulating,EUR,195.942961552,101.918144978,3054.917099166368,9.61828571428571
,15,iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,2B7K,iShares,Passive,Optimised,Accumulating,EUR,194.784975809,180.616787058,4392.12762922,7.70023809523809
,16,iShares MSCI ACWI UCITS ETF USD (Acc),IE00B6R52259,IUSQ,iShares,Passive,Optimised,Accumulating,EUR,182.71391353,148.43946396,4122.334339046253,5.89485714285714
,17,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Dist),DE0006289309,EXX1,iShares,Passive,Full Replication,Distributing,EUR,180.83881691,110.659858634,2283.1772358,9.24471428571429
,18,iShares Core MSCI EM IMI UCITS ETF USD (Acc),IE00BKM4GZ66,IS3N,iShares,Passive,Optimised,Accumulating,EUR,179.781218979,150.974046712,15606.23571598243,6.51980952380952
,19,iShares MSCI USA SRI UCITS ETF USD (Acc),IE00BYVJRR92,QDVR,iShares,Passive,Full Replication,Accumulating,EUR,154.91692799,111.041487842,8110.520210541413,9.80433333333333
,20,iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,IUSA,iShares,Passive,Optimised,Distributing,EUR,154.476480881,82.554730845,12796.60286972033,4.51104761904762
