iShares STOXX Europe 600 Banks UCITS (DE) ETF iNAV | Quote History                                02-Nov-2022 17:45,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
iShares STOXX Europe 600 Banks UCITS (DE) ETF iNAV,SX7PNAV.DE,Last,12.715,EUR,-0.0132,-0.001,,,,,,,,
,,,,,,,,,,,,,,
Price History,,,,,,,,,,,,,,
"Interval: Daily, History Period: Custom",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SX7PNAV.DE Price Statistics        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down Days(C-C),,Price Change,Close – Close,,Open – Close,
High,81.5417,2008-04-29 00:00:00,Max,--,--,Advancing,0,Up days,1801.0,Up,0.225402504472272,2020-02-12 00:00:00,0.16955146680792,2008-09-19
Low,7.7278,2020-09-25 00:00:00,Min,--,--,Declining,0,Down days,1845.0,Down,-0.156197573251141,2020-03-12 00:00:00,-0.532173211261975,2008-04-29
Average,17.5002897175761,,Average,--,,,,Unchanged,0.0,Period,-0.702543754319995,Custom,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SX7PNAV.DE Price History        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Exchange Date,Open,Close,Volume,High,Low,Close to Close Change,,Open to Close Change,,,,,,
2022-10-31 00:00:00,12.5676,12.6092,--,12.6772,12.551,0.303873995704397,0.0381999999999998,0.331009898469071,0.041599999999999,,,,,
2022-10-28 00:00:00,12.6163,12.571,--,12.6163,12.4135,-0.348791121680543,-0.0440000000000005,-0.359059312159674,-0.045300000000001,,,,,
2022-10-27 00:00:00,12.4764,12.615,--,12.6245,12.4145,1.16928110865171,0.145799999999999,1.11089737424257,0.1386,,,,,
2022-10-26 00:00:00,12.5085,12.4692,--,12.6097,12.3937,-0.30143360864802,-0.0376999999999992,-0.314186353279762,-0.039299999999999,,,,,
2022-10-25 00:00:00,12.5445,12.5069,--,12.5823,12.306,-0.222580336343625,-0.0279000000000007,-0.299732950695519,-0.0375999999999994,,,,,
2022-10-24 00:00:00,12.3598,12.5348,--,12.623,12.3598,1.3011362718001,0.161000000000001,1.41588051586596,0.175000000000001,,,,,
2022-10-21 00:00:00,12.3761,12.3738,--,12.3926,12.1599,0.0420419449250403,0.00519999999999854,-0.0185842066563778,-0.00229999999999997,,,,,
2022-10-20 00:00:00,12.3015,12.3686,--,12.4436,12.2133,0.550366233365041,0.0677000000000003,0.545461935536316,0.0670999999999999,,,,,
2022-10-19 00:00:00,12.2675,12.3009,--,12.3951,12.2084,0.294338268867011,0.0361000000000011,0.27226411249236,0.0334000000000003,,,,,
2022-10-18 00:00:00,12.1806,12.2648,--,12.4173,12.1806,0.825359245010019,0.100399999999999,0.691263156166356,0.0841999999999992,,,,,
2022-10-17 00:00:00,11.9149,12.1644,--,12.244,11.9149,1.28981223198303,0.154900000000001,2.09401673534819,0.249500000000001,,,,,
2022-10-14 00:00:00,12.189,12.0095,--,12.217,11.9909,0.671450366321859,0.0800999999999998,-1.47263926491099,-0.179500000000001,,,,,
2022-10-13 00:00:00,11.5662,11.9294,--,11.974,11.4613,3.01104423739497,0.348699999999999,3.14018433020352,0.363199999999999,,,,,
2022-10-12 00:00:00,11.6859,11.5807,--,11.6859,11.3991,-1.02304194728385,-0.1197,-0.900230191940715,-0.1052,,,,,
2022-10-11 00:00:00,11.8269,11.7004,--,11.8269,11.605,-1.11223799864774,-0.131600000000001,-1.06959558295073,-0.1265,,,,,
2022-10-10 00:00:00,11.8689,11.832,--,11.9305,11.7686,-0.274766953795312,-0.0325999999999986,-0.310896544751403,-0.0368999999999993,,,,,
2022-10-07 00:00:00,11.9355,11.8646,--,12.0284,11.8147,-0.535691830490005,-0.0639000000000003,-0.594026224288886,-0.0709,,,,,
2022-10-06 00:00:00,12.0483,11.9285,--,12.1757,11.9012,-1.10022220011276,-0.1327,-0.994331150452758,-0.1198,,,,,
2022-10-05 00:00:00,12.3091,12.0612,--,12.3091,11.9996,-1.99564468423962,-0.245600000000001,-2.01395715365056,-0.247900000000001,,,,,
2022-10-04 00:00:00,12.032,12.3068,--,12.3141,11.9226,4.07793921147439,0.482200000000001,2.28390957446809,0.274800000000001,,,,,
2022-10-03 00:00:00,11.516,11.8246,--,11.8639,11.4216,0.82195051244011,0.0964000000000009,2.6797499131643,0.3086,,,,,
2022-09-30 00:00:00,11.5394,11.7282,--,11.7712,11.5394,1.61940162719971,0.1869,1.63613359446764,0.188799999999999,,,,,
2022-09-29 00:00:00,11.8081,11.5413,--,11.8081,11.435,-2.33473242392445,-0.2759,-2.25946595980725,-0.2668,,,,,
2022-09-28 00:00:00,12.0863,11.8172,--,12.0863,11.586,-2.24913351696984,-0.2719,-2.22648784160578,-0.2691,,,,,
2022-09-27 00:00:00,12.2842,12.0891,--,12.4248,12.0842,-1.39557266602502,-0.171099999999999,-1.58821901304114,-0.1951,,,,,
2022-09-26 00:00:00,12.4585,12.2602,--,12.4585,12.1154,-1.78876116473745,-0.2233,-1.59168439218206,-0.198300000000001,,,,,
2022-09-23 00:00:00,12.9286,12.4835,--,12.9304,12.4424,-3.46814104546861,-0.448500000000001,-3.44275482264128,-0.4451,,,,,
2022-09-22 00:00:00,12.9291,12.932,--,13.1273,12.7086,0.00928016828039066,0.00120000000000076,0.0224300221979902,0.00290000000000035,,,,,
2022-09-21 00:00:00,12.9787,12.9308,--,13.0466,12.8049,-0.372136742917468,-0.0483000000000011,-0.369066239299778,-0.0479000000000003,,,,,
2022-09-20 00:00:00,12.9893,12.9791,--,13.2302,12.9569,-0.0954470230535313,-0.0123999999999995,-0.0785261715411864,-0.0101999999999993,,,,,
2022-09-19 00:00:00,13.0087,12.9915,--,13.0489,12.8816,-0.217361249788781,-0.0282999999999998,-0.132219207145979,-0.017199999999999,,,,,
2022-09-16 00:00:00,13.226,13.0198,--,13.226,12.9853,-1.51288219186371,-0.199999999999999,-1.55905035536066,-0.206200000000001,,,,,
2022-09-15 00:00:00,13.0027,13.2198,--,13.2456,13.0027,1.71972022806491,0.2235,1.66965322586846,0.217099999999999,,,,,
2022-09-14 00:00:00,13.0159,12.9963,--,13.1336,12.916,-0.161323776820084,-0.0210000000000008,-0.150585053665137,-0.0196000000000005,,,,,
2022-09-13 00:00:00,13.1761,13.0173,--,13.2274,12.9592,-1.08660136926969,-0.142999999999999,-1.20521246802923,-0.158799999999999,,,,,
2022-09-12 00:00:00,12.7769,13.1603,--,13.2034,12.7769,3.05396114421743,0.389999999999999,3.00072787608888,0.3834,,,,,
2022-09-09 00:00:00,12.499,12.7703,--,12.8519,12.499,2.20573523173826,0.275600000000001,2.17057364589167,0.2713,,,,,
2022-09-08 00:00:00,12.2223,12.4947,--,12.5581,12.2223,2.13846040660176,0.2616,2.2287130900076,0.272399999999999,,,,,
2022-09-07 00:00:00,12.3911,12.2331,--,12.3911,12.1122,-1.2193053996657,-0.151,-1.27510874740741,-0.157999999999999,,,,,
2022-09-06 00:00:00,12.3109,12.3841,--,12.4936,12.3038,0.58070594350503,0.0715000000000003,0.594595033669349,0.0731999999999999,,,,,
2022-09-05 00:00:00,12.211,12.3126,--,12.3164,12.1361,-0.98829962607052,-0.1229,0.832036688231918,0.101599999999999,,,,,
2022-09-02 00:00:00,12.109,12.4355,--,12.4549,12.109,2.66242879550896,0.3225,2.69634156412585,0.326499999999999,,,,,
2022-09-01 00:00:00,12.319,12.113,--,12.319,12.0525,-1.67221365370567,-0.206000000000001,-1.67221365370567,-0.206000000000001,,,,,
2022-08-31 00:00:00,12.311,12.319,--,12.4297,12.2824,-0.088402987858778,-0.0108999999999995,0.0649825359434725,0.0080000000000009,,,,,
2022-08-30 00:00:00,12.2275,12.3299,--,12.5942,12.2275,0.814370865800517,0.0996000000000006,0.837456552852187,0.102400000000001,,,,,
2022-08-29 00:00:00,12.256,12.2303,--,12.256,12.1101,-0.265029193985066,-0.0325000000000006,-0.209693211488255,-0.0257000000000005,,,,,
2022-08-26 00:00:00,12.4537,12.2628,--,12.5849,12.2468,-1.52022550413183,-0.189299999999999,-1.5328777792945,-0.190899999999999,,,,,
2022-08-25 00:00:00,12.4604,12.4521,--,12.6095,12.3937,-0.0497660194408528,-0.00619999999999976,-0.0666110237231565,-0.0083000000000002,,,,,
2022-08-24 00:00:00,12.5399,12.4583,--,12.5399,12.3785,-0.670525577242004,-0.0841000000000012,-0.650722892527053,-0.0815999999999999,,,,,
2022-08-23 00:00:00,12.5048,12.5424,--,12.6041,12.43,0.285447000407784,0.0357000000000003,0.300684537137749,0.0376000000000012,,,,,
2022-08-22 00:00:00,12.6942,12.5067,--,12.6942,12.4164,-1.50498511553183,-0.1911,-1.47705251217091,-0.1875,,,,,
2022-08-19 00:00:00,12.9686,12.6978,--,12.9686,12.6721,-2.07603917637078,-0.2692,-2.08812053729778,-0.270799999999999,,,,,
2022-08-18 00:00:00,13.0249,12.967,--,13.0486,12.915,-0.187816555567529,-0.0244,-0.444533163402407,-0.0579000000000001,,,,,
2022-08-17 00:00:00,13.1605,12.9914,--,13.2761,12.9709,-1.27815435119608,-0.168199999999999,-1.28490558869344,-0.1691,,,,,
2022-08-16 00:00:00,13.0783,13.1596,--,13.2276,13.0783,0.555517349410474,0.0726999999999993,0.621640427272649,0.0812999999999988,,,,,
2022-08-15 00:00:00,13.1388,13.0869,--,13.1698,13.0071,-0.385156993339671,-0.0505999999999993,-0.395013243218558,-0.0518999999999998,,,,,
2022-08-12 00:00:00,13.027,13.1375,--,13.1915,13.027,0.82966214867913,0.108099999999999,0.848238274353267,0.1105,,,,,
2022-08-11 00:00:00,12.9946,13.0294,--,13.0758,12.9784,0.321845452585545,0.0418000000000003,0.267803549166582,0.0348000000000006,,,,,
2022-08-10 00:00:00,12.909,12.9876,--,12.9999,12.8703,0.610436291522071,0.0788000000000011,0.608877527306529,0.0785999999999998,,,,,
2022-08-09 00:00:00,12.9024,12.9088,--,12.9906,12.854,0.0891659494622894,0.0114999999999998,0.0496031746031691,0.0063999999999993,,,,,
2022-08-08 00:00:00,12.8513,12.8973,--,12.9849,12.756,0.440785938461295,0.0565999999999995,0.357940441823001,0.0459999999999994,,,,,
2022-08-05 00:00:00,12.728,12.8407,--,12.892,12.6878,0.835538663295201,0.106400000000001,0.885449402891265,0.1127,,,,,
2022-08-04 00:00:00,12.7471,12.7343,--,12.8612,12.6797,0.0109951385780028,0.00139999999999851,-0.100414996352114,-0.0128000000000004,,,,,
2022-08-03 00:00:00,12.546,12.7329,--,12.7414,12.4766,1.53908723355052,0.193000000000001,1.48971783835487,0.186900000000001,,,,,
2022-08-02 00:00:00,12.5518,12.5399,--,12.5967,12.4248,-0.0398568342513753,-0.00500000000000078,-0.0948071192976361,-0.0119000000000007,,,,,
2022-08-01 00:00:00,12.4468,12.5449,--,12.7463,12.4381,0.813262936264941,0.1012,0.788154385062832,0.0981000000000005,,,,,
2022-07-29 00:00:00,12.2302,12.4437,--,12.4858,12.2302,1.7864592279944,0.218399999999999,1.74567872970188,0.2135,,,,,
2022-07-28 00:00:00,12.2683,12.2253,--,12.3525,12.1577,-0.338311540091949,-0.0414999999999992,-0.350496808848816,-0.0429999999999993,,,,,
2022-07-27 00:00:00,12.1517,12.2668,--,12.329,12.1517,0.956331374582319,0.116199999999999,0.947192573878552,0.1151,,,,,
2022-07-26 00:00:00,12.2121,12.1506,--,12.2322,12.0975,-0.489746445652879,-0.0597999999999992,-0.503598889625853,-0.0614999999999988,,,,,
2022-07-25 00:00:00,12.0098,12.2104,--,12.2778,11.9859,1.70163500220721,0.2043,1.67030258622125,0.2006,,,,,
2022-07-22 00:00:00,12.1604,12.0061,--,12.1985,11.9902,-1.25181974453666,-0.152200000000001,-1.26887273444952,-0.154299999999999,,,,,
2022-07-21 00:00:00,12.1292,12.1583,--,12.276,11.875,0.256448314532624,0.0311000000000004,0.239916894766346,0.0290999999999997,,,,,
2022-07-20 00:00:00,12.2299,12.1272,--,12.3702,11.9891,-0.796754086023268,-0.0974000000000004,-0.839745214597016,-0.1027,,,,,
2022-07-19 00:00:00,11.688,12.2246,--,12.2517,11.688,2.86171063149482,0.340100000000001,4.59103353867214,0.5366,,,,,
2022-07-18 00:00:00,11.6344,11.8845,--,11.9794,11.6344,2.21731015679427,0.2578,2.14965963006257,0.2501,,,,,
2022-07-15 00:00:00,11.521,11.6267,--,11.6787,11.4348,-3.39180217534006,-0.408200000000001,0.917455082024119,0.105699999999999,,,,,
2022-07-14 00:00:00,12.4163,12.0349,--,12.4523,12.0179,-3.07411046502263,-0.3817,-3.07176856229311,-0.381399999999999,,,,,
2022-07-13 00:00:00,12.5988,12.4166,--,12.6276,12.3128,-1.4367816091954,-0.180999999999999,-1.44616947645807,-0.1822,,,,,
2022-07-12 00:00:00,12.6136,12.5976,--,12.6136,12.2759,-0.186986974297215,-0.0236000000000001,-0.126847212532505,-0.016,,,,,
2022-07-11 00:00:00,12.587,12.6212,--,12.745,12.5528,-1.43922533286479,-0.1843,0.271708906014143,0.0342000000000002,,,,,
2022-07-08 00:00:00,12.7153,12.8055,--,12.8346,12.5381,0.685626223630525,0.0872000000000011,0.709381611129908,0.0902000000000012,,,,,
2022-07-07 00:00:00,12.2969,12.7183,--,12.7525,12.2969,3.37475920702911,0.415199999999999,3.42687994535207,0.421399999999998,,,,,
2022-07-06 00:00:00,12.3429,12.3031,--,12.5377,12.2249,-0.340215956128341,-0.0419999999999998,-0.322452584076672,-0.0397999999999996,,,,,
2022-07-05 00:00:00,12.7769,12.3451,--,12.8862,12.3343,-3.35608824312264,-0.428699999999999,-3.37953650729049,-0.431799999999999,,,,,
2022-07-04 00:00:00,12.7195,12.7738,--,12.8571,12.6611,0.35668269381854,0.045399999999999,0.426903573253662,0.0542999999999996,,,,,
2022-07-01 00:00:00,12.7812,12.7284,--,12.9397,12.6402,-0.425571862189812,-0.0543999999999993,-0.413106750539852,-0.0527999999999995,,,,,
2022-06-30 00:00:00,13.1428,12.7828,--,13.1428,12.6316,-2.79239543726236,-0.3672,-2.73914234409714,-0.359999999999999,,,,,
2022-06-29 00:00:00,13.2851,13.15,--,13.2851,13.1173,-0.948334952809223,-0.1259,-1.01692873971592,-0.1351,,,,,
