iShares STOXX Europe 600 Basic Resources UCITS (DE) ETF iNAV | Quote History                                02-Nov-2022 17:52,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
iShares STOXX Europe 600 Basic Resources UCITS (DE) ETF iNAV,SXPPNAV.DE,Last,56.8385,EUR,-1.0147,-0.0175,,,,,,,,
,,,,,,,,,,,,,,
Price History,,,,,,,,,,,,,,
"Interval: Daily, History Period: Custom",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SXPPNAV.DE Price Statistics        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down Days(C-C),,Price Change,Close – Close,,Open – Close,
High,88.082,2008-04-29 00:00:00,Max,--,--,Advancing,0,Up days,1838.0,Up,0.180482935842164,2008-11-24 00:00:00,0.363732466878704,2008-07-24
Low,19.2239,2016-01-20 00:00:00,Min,--,--,Declining,0,Down days,1809.0,Down,-0.151151618305103,2008-10-15 00:00:00,-0.163009468449854,2008-04-29
Average,45.7709769462719,,Average,--,,,,Unchanged,0.0,Period,-0.188373234649951,Custom,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SXPPNAV.DE Price History        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Exchange Date,Open,Close,Volume,High,Low,Close to Close Change,,Open to Close Change,,,,,,
2022-10-31 00:00:00,56.0044,55.8831,--,56.4761,55.2945,-0.205720530801831,-0.115200000000002,-0.216590125061599,-0.121299999999998,,,,,
2022-10-28 00:00:00,57.209,55.9983,--,57.209,55.158,-2.18312922175583,-1.2498,-2.11627541121153,-1.2107,,,,,
2022-10-27 00:00:00,58.1745,57.2481,--,58.1745,56.3211,-1.49152799024002,-0.866799999999998,-1.59245030038935,-0.926400000000001,,,,,
2022-10-26 00:00:00,56.6177,58.1149,--,58.1306,56.3485,2.58624037507635,1.4651,2.64440272211693,1.4972,,,,,
2022-10-25 00:00:00,56.3208,56.6498,--,56.7242,55.5155,0.628642583207651,0.353899999999996,0.584153634181334,0.329000000000001,,,,,
2022-10-24 00:00:00,56.2264,56.2959,--,56.6097,55.5595,-0.0800482774533606,-0.0450999999999979,0.123607415733543,0.069500000000005,,,,,
2022-10-21 00:00:00,55.7195,56.341,--,56.3701,54.2825,1.17551143546719,0.654600000000002,1.11540842972389,0.621500000000005,,,,,
2022-10-20 00:00:00,55.2975,55.6864,--,55.9869,54.4123,0.802270686708948,0.443199999999997,0.703286767032867,0.3889,,,,,
2022-10-19 00:00:00,55.9893,55.2432,--,56.3682,54.7183,-1.30983771732372,-0.733199999999997,-1.33257604578017,-0.746099999999998,,,,,
2022-10-18 00:00:00,56.8136,55.9764,--,57.4849,55.9066,-1.34387518968468,-0.762500000000003,-1.47359083036457,-0.837200000000003,,,,,
