iShares STOXX Europe 600 Chemicals UCITS (DE) ETF iNAV | Quote History                                02-Nov-2022 17:54,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
iShares STOXX Europe 600 Chemicals UCITS (DE) ETF iNAV,SX4PNAV.DE,Last,112.1906,EUR,-0.6368,-0.0056,,,,,,,,
,,,,,,,,,,,,,,
Price History,,,,,,,,,,,,,,
"Interval: Daily, History Period: Custom",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SX4PNAV.DE Price Statistics        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down Days(C-C),,Price Change,Close – Close,,Open – Close,
High,138.7547,2022-01-05 00:00:00,Max,--,--,Advancing,0,Up days,1928.0,Up,0.154526137129081,2020-02-12 00:00:00,0.123864350306017,2008-10-29
Low,26.392,2008-10-28 00:00:00,Min,--,--,Declining,0,Down days,1718.0,Down,-0.0935729915066331,2020-03-12 00:00:00,-0.279536236364313,2008-04-29
Average,76.8165891966001,,Average,--,,,,Unchanged,0.0,Period,1.19389027310537,Custom,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SX4PNAV.DE Price History        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Exchange Date,Open,Close,Volume,High,Low,Close to Close Change,,Open to Close Change,,,,,,
2022-10-31 00:00:00,113.2357,113.1466,--,113.8528,113.1398,-0.0650060678218189,-0.073599999999999,-0.0786854322444139,-0.0890999999999877,,,,,
2022-10-28 00:00:00,112.89,113.2202,--,113.3326,111.4478,0.26967020529475,0.304500000000004,0.292497121091332,0.330200000000005,,,,,
2022-10-27 00:00:00,113.0418,112.9157,--,113.3101,111.1963,-0.0901629480718052,-0.101900000000001,-0.111551656113043,-0.126099999999994,,,,,
2022-10-26 00:00:00,111.8081,113.0176,--,113.4143,111.6102,1.16609333222337,1.3027,1.08176420134141,1.20950000000001,,,,,
2022-10-25 00:00:00,111.3681,111.7149,--,112.1755,108.6562,0.332661245054766,0.370400000000004,0.311399763487032,0.346800000000002,,,,,
2022-10-24 00:00:00,109.5238,111.3445,--,112.3838,109.5238,1.63119971813862,1.7871,1.66237840542421,1.8207,,,,,
2022-10-21 00:00:00,109.8413,109.5574,--,109.8413,107.8345,-0.274442944540683,-0.301500000000004,-0.258463801866878,-0.283900000000003,,,,,
2022-10-20 00:00:00,108.738,109.8589,--,110.2112,108.0563,1.02729585127339,1.11710000000001,1.03082639003845,1.12090000000001,,,,,
2022-10-19 00:00:00,108.5979,108.7418,--,109.6352,108.1411,0.146432031592473,0.158999999999992,0.132507166344839,0.143900000000002,,,,,
2022-10-18 00:00:00,107.2822,108.5828,--,109.96,107.2822,1.22665871143969,1.31580000000001,1.21231667508683,1.3006,,,,,
2022-10-17 00:00:00,105.9967,107.267,--,108.0573,105.0695,0.919183366262103,0.97699999999999,1.19843353613838,1.27029999999999,,,,,
2022-10-14 00:00:00,105.922,106.29,--,108.8737,105.922,0.33814208764508,0.358200000000011,0.347425464020703,0.368000000000009,,,,,
2022-10-13 00:00:00,104.8572,105.9318,--,106.059,102.3675,1.00998735608728,1.05919999999999,1.02482232979709,1.07459999999999,,,,,
2022-10-12 00:00:00,104.8764,104.8726,--,106.1781,104.2656,-0.022689053199151,-0.0237999999999943,-0.00362331277579918,-0.00379999999999825,,,,,
2022-10-11 00:00:00,107.4697,104.8964,--,107.4697,103.953,-2.39852913536458,-2.5778,-2.39444234049225,-2.5733,,,,,
2022-10-10 00:00:00,105.6712,107.4742,--,108.1705,104.9816,1.69131972140297,1.78749999999999,1.70623594697514,1.803,,,,,
2022-10-07 00:00:00,107.5175,105.6867,--,107.7482,105.6801,-1.73505478239525,-1.8661,-1.70279256865161,-1.8308,,,,,
2022-10-06 00:00:00,108.1665,107.5528,--,109.2979,107.1945,-0.59502793987981,-0.643799999999999,-0.567366051411476,-0.613699999999994,,,,,
2022-10-05 00:00:00,109.1414,108.1966,--,109.1414,108.0218,-0.856218672971013,-0.934399999999997,-0.865666007582825,-0.944800000000001,,,,,
2022-10-04 00:00:00,105.6093,109.131,--,109.171,105.6093,3.35118815369288,3.5386,3.33464950529924,3.5217,,,,,
2022-10-03 00:00:00,104.424,105.5924,--,105.7495,102.8901,1.10389268428133,1.1529,1.11889986976173,1.16839999999999,,,,,
2022-09-30 00:00:00,102.3183,104.4395,--,104.5306,102.3183,2.05877495658767,2.10679999999999,2.07313843173704,2.1212,,,,,
2022-09-29 00:00:00,104.2954,102.3327,--,104.2954,101.4709,-1.88685214960207,-1.968,-1.88186631433409,-1.9627,,,,,
2022-09-28 00:00:00,103.3953,104.3007,--,104.445,101.3499,0.868839474557151,0.898400000000009,0.875668429802902,0.9054,,,,,
2022-09-27 00:00:00,103.7749,103.4023,--,105.1017,103.3403,-0.325237107876736,-0.337400000000002,-0.359046358994329,-0.372600000000006,,,,,
2022-09-26 00:00:00,103.9417,103.7397,--,104.7876,103.3529,-0.19568398479553,-0.203400000000002,-0.194339711588321,-0.201999999999998,,,,,
2022-09-23 00:00:00,105.19,103.9431,--,105.3428,102.3988,-1.1911087958584,-1.253,-1.18537883829261,-1.2469,,,,,
2022-09-22 00:00:00,106.17,105.1961,--,107.7717,105.1828,-2.49626237263566,-2.6932,-0.917302439483847,-0.9739,,,,,
2022-09-21 00:00:00,106.3317,107.8893,--,107.8932,105.3713,1.44719991123665,1.5391,1.46485008703896,1.55760000000001,,,,,
2022-09-20 00:00:00,107.2653,106.3502,--,108.2633,106.0309,-0.849698307688866,-0.9114,-0.853118389637651,-0.915099999999995,,,,,
2022-09-19 00:00:00,106.4624,107.2616,--,107.6852,105.7267,0.735169817841669,0.782799999999995,0.750687566690211,0.799199999999999,,,,,
2022-09-16 00:00:00,108.2862,106.4788,--,108.2862,106.0213,-1.68253294060073,-1.8222,-1.66909541566699,-1.80739999999999,,,,,
2022-09-15 00:00:00,109.6297,108.301,--,110.2002,108.1584,-1.20441921414908,-1.3203,-1.2119890868989,-1.3287,,,,,
2022-09-14 00:00:00,111.2004,109.6213,--,111.2004,108.839,-1.44699130097059,-1.6095,-1.42004884874515,-1.5791,,,,,
2022-09-13 00:00:00,113.0128,111.2308,--,114.2205,111.2241,-1.55799743696855,-1.7604,-1.57681253804878,-1.782,,,,,
2022-09-12 00:00:00,110.7188,112.9912,--,113.2921,110.7188,2.03729256821679,2.256,2.05240663735518,2.2724,,,,,
2022-09-09 00:00:00,109.436,110.7352,--,111.0608,109.436,1.176268504255,1.28740000000001,1.18717789392887,1.2992,,,,,
2022-09-08 00:00:00,109.5875,109.4478,--,110.3031,107.9787,-0.0922875537773564,-0.101100000000002,-0.127478042659979,-0.139700000000005,,,,,
2022-09-07 00:00:00,108.3336,109.5489,--,109.8408,107.1483,1.13506906426734,1.2295,1.12181262323047,1.2153,,,,,
2022-09-06 00:00:00,107.1468,108.3194,--,108.8405,107.1468,1.07401062253425,1.151,1.0943863932474,1.1726,,,,,
2022-09-05 00:00:00,107.75,107.1684,--,107.9816,106.0055,-2.74411437470165,-3.02379999999999,-0.53976798143851,-0.581599999999995,,,,,
2022-09-02 00:00:00,107.2301,110.1922,--,110.3826,107.2301,2.75222000602383,2.9515,2.76237735486585,2.96210000000001,,,,,
2022-09-01 00:00:00,109.388,107.2407,--,109.388,107.039,-1.83315590063647,-2.0026,-1.96301239624091,-2.1473,,,,,
2022-08-31 00:00:00,110.6039,109.2433,--,110.8147,109.2372,-1.21506144483529,-1.3437,-1.23015553701089,-1.36059999999999,,,,,
2022-08-30 00:00:00,111.5595,110.587,--,112.9945,109.9556,-0.895007155934855,-0.998699999999999,-0.871732125009521,-0.972499999999997,,,,,
2022-08-29 00:00:00,111.4969,111.5857,--,111.9294,109.6007,0.0439317283010943,0.0490000000000066,0.0796434699081375,0.0888000000000062,,,,,
2022-08-26 00:00:00,113.9073,111.5367,--,114.9172,111.3459,-2.08520612402557,-2.37530000000001,-2.08116600077432,-2.37060000000001,,,,,
2022-08-25 00:00:00,113.4725,113.912,--,114.4952,113.3015,0.369097328383847,0.418900000000008,0.387318513296182,0.43950000000001,,,,,
2022-08-24 00:00:00,113.2425,113.4931,--,113.8066,112.499,0.212976559333655,0.241199999999992,0.221295008499452,0.250599999999992,,,,,
2022-08-23 00:00:00,113.5413,113.2519,--,114.1391,112.7544,-0.285886353350948,-0.324699999999993,-0.25488522678532,-0.289400000000001,,,,,
2022-08-22 00:00:00,116.4741,113.5766,--,116.4741,113.4361,-2.49186334715842,-2.9025,-2.48767751800616,-2.89750000000001,,,,,
2022-08-19 00:00:00,117.7517,116.4791,--,117.9,116.4249,-1.07562405728961,-1.26649999999999,-1.08074872804384,-1.2726,,,,,
2022-08-18 00:00:00,116.6498,117.7456,--,118.3226,116.425,0.93991214684713,1.0964,0.939392952238235,1.0958,,,,,
2022-08-17 00:00:00,118.6974,116.6492,--,118.8892,116.5063,-1.73516751046678,-2.05980000000001,-1.72556433418087,-2.04820000000001,,,,,
2022-08-16 00:00:00,118.5109,118.709,--,119.146,117.8295,0.195057474853958,0.231099999999998,0.167157620100764,0.198099999999997,,,,,
2022-08-15 00:00:00,117.4907,118.4779,--,118.4996,117.4907,0.837232816598606,0.983699999999999,0.840236716608209,0.987200000000001,,,,,
2022-08-12 00:00:00,116.3506,117.4942,--,117.6246,116.1152,0.972650959416455,1.13180000000001,0.98289136454819,1.14360000000001,,,,,
2022-08-11 00:00:00,116.9247,116.3624,--,117.5453,116.1593,-0.489673750374147,-0.572600000000008,-0.480907797924654,-0.562300000000008,,,,,
2022-08-10 00:00:00,114.9778,116.935,--,117.0345,114.1206,1.70374538708479,1.9589,1.70224165012724,1.9572,,,,,
2022-08-09 00:00:00,116.272,114.9761,--,116.272,114.628,-1.10858813916484,-1.2889,-1.11454176413926,-1.2959,,,,,
2022-08-08 00:00:00,115.2416,116.265,--,117.0207,115.2416,0.883145100271411,1.01779999999999,0.888047371782408,1.0234,,,,,
2022-08-05 00:00:00,116.407,115.2472,--,116.5471,114.7354,-0.994205550472698,-1.15729999999999,-0.996331835714338,-1.15979999999999,,,,,
2022-08-04 00:00:00,115.4853,116.4045,--,116.6942,115.4853,0.798913076421502,0.922600000000003,0.795945457993358,0.919200000000004,,,,,
2022-08-03 00:00:00,115.3328,115.4819,--,115.7426,114.4754,0.124590118451645,0.143699999999996,0.129278054464983,0.14909999999999,,,,,
2022-08-02 00:00:00,114.9405,115.3382,--,115.658,113.5578,0.341989349698251,0.393100000000004,0.346005106990139,0.3977,,,,,
2022-08-01 00:00:00,115.729,114.9451,--,115.9709,114.896,-0.686025725100676,-0.793999999999997,-0.677358311227093,-0.783900000000003,,,,,
2022-07-29 00:00:00,113.5264,115.7391,--,116.1362,113.5264,1.97295501842294,2.2393,1.94906206838233,2.2127,,,,,
2022-07-28 00:00:00,110.8396,113.4998,--,113.5704,110.8396,2.41020819535752,2.6712,2.4000447493495,2.66019999999999,,,,,
2022-07-27 00:00:00,110.8469,110.8286,--,111.5188,110.4499,-0.0165994569090726,-0.0183999999999998,-0.0165092573630933,-0.0183000000000106,,,,,
2022-07-26 00:00:00,111.125,110.847,--,111.6906,110.185,-0.253041082281556,-0.281200000000013,-0.250168728908892,-0.278000000000006,,,,,
2022-07-25 00:00:00,111.6975,111.1282,--,111.8369,110.7113,-0.503712033578405,-0.562599999999989,-0.509680162940082,-0.569299999999998,,,,,
2022-07-22 00:00:00,111.6729,111.6908,--,112.3858,110.7554,0.023552695798568,0.026299999999992,0.0160289559955883,0.0178999999999974,,,,,
2022-07-21 00:00:00,111.6156,111.6645,--,112.1103,110.5066,0.058781941399067,0.0656000000000034,0.0438110801715918,0.0489000000000033,,,,,
2022-07-20 00:00:00,111.8414,111.5989,--,112.5278,110.4383,-0.214148271076833,-0.239499999999993,-0.216824896684048,-0.242499999999993,,,,,
2022-07-19 00:00:00,109.6045,111.8384,--,112.0855,107.6306,2.02809279361548,2.22309999999999,2.03814624399545,2.23389999999999,,,,,
2022-07-18 00:00:00,108.4382,109.6153,--,110.6305,108.4382,0.907209623878532,0.985500000000002,1.08550307917322,1.17710000000001,,,,,
2022-07-15 00:00:00,106.1487,108.6298,--,108.6907,106.1487,0.983153640066865,1.05760000000001,2.33738142812865,2.4811,,,,,
2022-07-14 00:00:00,109.8768,107.5722,--,109.8848,107.0784,-2.11971050519646,-2.3296,-2.09744004193789,-2.30460000000001,,,,,
2022-07-13 00:00:00,111.0449,109.9018,--,111.0449,108.5275,-1.00649257065445,-1.1174,-1.02940342149887,-1.1431,,,,,
2022-07-12 00:00:00,110.7921,111.0192,--,111.18,109.1147,0.185355975519292,0.205399999999997,0.204978513810996,0.227099999999993,,,,,
2022-07-11 00:00:00,111.5733,110.8138,--,111.5733,109.3152,-0.659705942732254,-0.735900000000001,-0.680718415606604,-0.759500000000003,,,,,
2022-07-08 00:00:00,110.5628,111.5497,--,112.1334,109.7595,0.876556785831851,0.969300000000004,0.892614875889545,0.986900000000006,,,,,
2022-07-07 00:00:00,108.6089,110.5804,--,110.7838,108.6089,1.80969812585393,1.96559999999999,1.81522877038621,1.97149999999999,,,,,
2022-07-06 00:00:00,106.7304,108.6148,--,108.9021,106.7304,1.74583681104926,1.86370000000001,1.76557007188205,1.8844,,,,,
2022-07-05 00:00:00,110.3071,106.7511,--,111.2217,106.7501,-3.22206024738635,-3.55410000000001,-3.22372721248225,-3.55600000000001,,,,,
2022-07-04 00:00:00,109.5847,110.3052,--,110.9081,109.5847,0.652063224400637,0.714600000000004,0.657482294517393,0.720500000000001,,,,,
2022-07-01 00:00:00,110.2519,109.5906,--,110.8195,109.2268,-0.620359883091952,-0.684100000000001,-0.599808257272674,-0.661300000000011,,,,,
