iShares STOXX Europe 600 Industrial Goods & Services UCITS (DE) ETF iNAV | Quote History                                02-Nov-2022 17:48,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
iShares STOXX Europe 600 Industrial Goods & Services UCITS (DE) ETF iNAV,SXNPNAV.DE,Last,62.3173,EUR,-0.3417,-0.0055,,,,,,,,
,,,,,,,,,,,,,,
Price History,,,,,,,,,,,,,,
"Interval: Daily, History Period: Custom",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SXNPNAV.DE Price Statistics        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down Days(C-C),,Price Change,Close – Close,,Open – Close,
High,81.8797,2022-01-04 00:00:00,Max,--,--,Advancing,0,Up days,1932.0,Up,0.184246326863777,2020-02-12 00:00:00,0.103703342437248,2008-10-13
Low,14.8466,2009-03-09 00:00:00,Min,--,--,Declining,0,Down days,1715.0,Down,-0.116859508349386,2020-03-12 00:00:00,-0.54742873651772,2008-04-29
Average,42.8858792214912,,Average,--,,,,Unchanged,0.0,Period,0.846400531125054,Custom,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SXNPNAV.DE Price History        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Exchange Date,Open,Close,Volume,High,Low,Close to Close Change,,Open to Close Change,,,,,,
2022-10-31 00:00:00,62.4172,62.297,--,62.495,62.023,-0.190496331864162,-0.118900000000004,-0.192575123523651,-0.120200000000004,,,,,
2022-10-28 00:00:00,62.2311,62.4159,--,62.4498,61.349,0.277621133908822,0.172800000000002,0.296957630509508,0.184800000000003,,,,,
2022-10-27 00:00:00,62.5041,62.2431,--,62.5041,61.5012,-0.285159985966291,-0.178000000000004,-0.41757260723697,-0.261000000000003,,,,,
2022-10-26 00:00:00,61.5267,62.4211,--,62.4441,61.2995,1.44378517438696,0.888400000000004,1.45367783417606,0.894400000000005,,,,,
2022-10-25 00:00:00,60.3737,61.5327,--,61.5609,60.1144,1.92359295958019,1.1613,1.9197100724322,1.159,,,,,
2022-10-24 00:00:00,59.3051,60.3714,--,60.8374,59.3051,1.71292248128623,1.0167,1.79799039205734,1.0663,,,,,
2022-10-21 00:00:00,59.7206,59.3547,--,59.7206,58.358,-0.601534985991538,-0.359200000000001,-0.612686409714565,-0.365899999999996,,,,,
2022-10-20 00:00:00,59.5722,59.7139,--,59.9014,58.9679,0.326615646972844,0.194400000000002,0.237862627198593,0.1417,,,,,
2022-10-19 00:00:00,60.1257,59.5195,--,60.5408,59.4865,-0.976599868566621,-0.586999999999996,-1.00822111010766,-0.606200000000001,,,,,
2022-10-18 00:00:00,59.3178,60.1065,--,60.7403,59.3178,1.38328520537593,0.820099999999997,1.3296177538614,0.788699999999999,,,,,
2022-10-17 00:00:00,57.8059,59.2864,--,59.5601,57.382,2.47092822278453,1.4296,2.5611572521144,1.4805,,,,,
2022-10-14 00:00:00,58.82,57.8568,--,59.2148,57.851,-0.0754743050578167,-0.0437000000000012,-1.63753825229514,-0.963200000000001,,,,,
2022-10-13 00:00:00,56.8493,57.9005,--,57.969,55.8251,1.80934211336083,1.029,1.84909928530343,1.0512,,,,,
2022-10-12 00:00:00,57.0998,56.8715,--,57.6258,56.6102,-0.445332152316207,-0.254400000000004,-0.39982626909377,-0.228300000000004,,,,,
2022-10-11 00:00:00,57.4037,57.1259,--,57.4808,56.6861,-0.532631747568422,-0.305900000000001,-0.483940930636874,-0.277799999999999,,,,,
2022-10-10 00:00:00,57.1987,57.4318,--,58.052,56.7498,0.432459844888043,0.247300000000003,0.407526744488949,0.2331,,,,,
2022-10-07 00:00:00,58.5425,57.1845,--,58.5716,57.0601,-2.36921269817422,-1.3877,-2.31968228210274,-1.358,,,,,
