iShares STOXX Europe 600 Insurance UCITS (DE) ETF iNAV | Quote History                                02-Nov-2022 17:55,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Price History,,,,,,,,,,,,,,
"Interval: Daily, History Period: Custom",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SXIPNAV.DE Price Statistics        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down Days(C-C),,Price Change,Close – Close,,Open – Close,
High,34.4181,2022-01-14 00:00:00,Max,--,--,Advancing,0,Up days,1887.0,Up,0.202567326048259,2020-02-12 00:00:00,0.140515917341525,2008-09-19
Low,7.5488,2009-03-09 00:00:00,Min,--,--,Declining,0,Down days,1759.0,Down,-0.149081985607213,2020-03-12 00:00:00,-0.113277833565482,2009-03-05
Average,22.9722185083631,,Average,--,,,,Unchanged,0.0,Period,0.164644278934092,Custom,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SXIPNAV.DE Price History        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Exchange Date,Open,Close,Volume,High,Low,Close to Close Change,,Open to Close Change,,,,,,
2022-10-31 00:00:00,29.1238,29.2257,--,29.3413,29.1005,0.347473776373839,0.101199999999999,0.349885660525071,0.101900000000001,,,,,
2022-10-28 00:00:00,29.1593,29.1245,--,29.1593,28.6846,-0.172409065357775,-0.0503,-0.119344428707138,-0.0348000000000006,,,,,
2022-10-27 00:00:00,28.8798,29.1748,--,29.2264,28.7803,1.09568724747563,0.316200000000002,1.02147521797243,0.295000000000002,,,,,
2022-10-26 00:00:00,28.8061,28.8586,--,28.8917,28.6935,0.221567783071945,0.0638000000000005,0.182253064455093,0.0524999999999984,,,,,
2022-10-25 00:00:00,28.6669,28.7948,--,28.8995,28.3833,0.450714445188649,0.129199999999997,0.446159159169636,0.1279,,,,,
2022-10-24 00:00:00,28.3461,28.6656,--,28.7991,28.3461,1.03446695873764,0.293500000000002,1.12713918316806,0.319500000000001,,,,,
2022-10-21 00:00:00,28.4211,28.3721,--,28.4348,27.7835,-0.208923201378753,-0.0594000000000001,-0.172407120062206,-0.0489999999999995,,,,,
2022-10-20 00:00:00,28.4786,28.4315,--,28.562,28.2301,-0.159427465770504,-0.0454000000000008,-0.165387343478964,-0.0471000000000004,,,,,
2022-10-19 00:00:00,28.2043,28.4769,--,28.5273,28.2043,0.98263108248995,0.277100000000001,0.96651928961187,0.272600000000001,,,,,
2022-10-18 00:00:00,28.1424,28.1998,--,28.5332,28.1424,0.259538945063073,0.0730000000000004,0.203962703962708,0.0574000000000012,,,,,
2022-10-17 00:00:00,27.6684,28.1268,--,28.3648,27.6684,1.10607460341995,0.307700000000001,1.65676367263738,0.458400000000001,,,,,
2022-10-14 00:00:00,28.005,27.8191,--,28.2813,27.7137,0.864372550370363,0.238399999999999,-0.663810033922514,-0.1859,,,,,
