iShares STOXX Europe 600 Travel & Leisure UCITS (DE) ETF iNAV | Quote History                                02-Nov-2022 17:42,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
iShares STOXX Europe 600 Travel & Leisure UCITS (DE) ETF iNAV,SXTPNAV.DE,Last,18.359,EUR,-0.0029,-0.0002,,,,,,,,
,,,,,,,,,,,,,,
Price History,,,,,,,,,,,,,,
"Interval: Daily, History Period: Custom",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SXTPNAV.DE Price Statistics        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down Days(C-C),,Price Change,Close – Close,,Open – Close,
High,26.3865,2015-04-14 00:00:00,Max,--,--,Advancing,0,Up days,1899.0,Up,0.148627654065251,2020-02-12 00:00:00,0.127323519113371,2008-04-28
Low,7.8831,2009-03-09 00:00:00,Min,--,--,Declining,0,Down days,1747.0,Down,-0.129968322276015,2020-03-12 00:00:00,-0.101070865698525,2020-03-16
Average,17.9962796875,,Average,--,,,,Unchanged,1.0,Period,0.0660075620313783,Custom,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SXTPNAV.DE Price History        Daily        02-Jan-2008  -  31-Oct-2022 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Exchange Date,Open,Close,Volume,High,Low,Close to Close Change,,Open to Close Change,,,,,,
2022-10-31 00:00:00,18.0774,18.2977,--,18.3707,17.9924,1.22200832005665,0.2209,1.21864869948111,0.220299999999998,,,,,
2022-10-28 00:00:00,18.1753,18.0768,--,18.1753,17.9258,-0.554528650646967,-0.100800000000003,-0.541944287026907,-0.0985000000000014,,,,,
2022-10-27 00:00:00,18.0375,18.1776,--,18.2709,17.8339,0.818635607321135,0.147600000000001,0.776715176715178,0.1401,,,,,
2022-10-26 00:00:00,17.804,18.03,--,18.0599,17.643,1.23980863823193,0.220800000000001,1.2693776679398,0.226000000000003,,,,,
2022-10-25 00:00:00,17.2065,17.8092,--,17.8112,17.2037,3.51176983435049,0.604200000000002,3.50274605526982,0.602700000000002,,,,,
2022-10-24 00:00:00,16.9031,17.205,--,17.4673,16.9031,1.68740210999142,0.285499999999999,1.78606291153694,0.3019,,,,,
2022-10-21 00:00:00,17.1009,16.9195,--,17.1009,16.7299,-1.02719492720136,-0.175599999999999,-1.06076288382483,-0.1814,,,,,
2022-10-20 00:00:00,16.9638,17.0951,--,17.2022,16.8332,0.83403622807999,0.141399999999997,0.774001108242254,0.1313,,,,,
2022-10-19 00:00:00,17.2264,16.9537,--,17.2625,16.9513,-1.55674784285034,-0.2681,-1.58303534110435,-0.2727,,,,,
2022-10-18 00:00:00,17.149,17.2218,--,17.4355,17.1458,0.481349880100139,0.0825000000000031,0.424514548953297,0.0728000000000009,,,,,
